travel_km,electricity,screen_time,waste,emission,food_encoded,transport
14.21,4.97,6.7,0.72,8.4,1,4
5.37,5.96,5.6,0.46,6.24,0,1
12.79,3.94,4.1,0.38,4.19,0,3
13.97,5.93,3.5,0.54,8.18,1,4
6.49,7.67,2.5,0.51,12.12,1,1
5.77,4.88,7.6,0.44,4.62,1,0
15.72,3.23,8.1,0.61,5.64,1,3
4.19,6.74,3.5,0.82,10.79,1,3
12.54,3.66,8.8,0.86,3.69,1,4
12.38,6.35,2.8,0.88,11.37,1,4
10.09,6.85,7.5,0.75,12.33,1,2
7.07,8.79,2.2,0.85,14.01,1,2
16.26,6.25,6.4,1.12,10.9,1,2
12.32,6.24,2.8,0.57,13.89,1,2
8.33,3.7,3.5,0.6,4.93,1,4
15.94,6.8,5.3,0.61,3.73,0,4
13.53,9.69,3.6,1.21,11.46,1,3
3.51,6.59,4.5,1.17,9.35,1,3
3.72,6.6,5.8,1.01,11.33,1,4
4.55,8.64,8.2,0.99,13.75,1,1
10.33,4.45,7.1,0.63,6.42,0,3
14.78,5.68,8.0,0.19,6.68,0,3
2.52,8.82,8.2,1.26,10.64,1,4
10.27,9.32,7.3,0.81,7.89,1,0
6.59,7.88,5.6,0.76,8.29,1,3
15.27,4.53,6.4,0.99,7.11,1,1
6.6,7.66,4.4,1.16,4.09,1,4
12.7,7.95,4.1,0.77,13.56,1,1
12.7,6.35,8.8,0.87,5.55,1,3
18.26,7.09,5.1,0.55,9.8,1,3
3.2,5.22,6.8,0.97,10.67,1,3
14.6,6.88,6.5,0.52,10.32,1,1
3.23,4.81,5.3,1.11,6.1,1,2
7.37,7.88,7.9,0.95,6.67,0,3
11.32,9.31,2.8,0.92,11.21,0,2
9.29,10.3,5.4,0.85,15.34,1,3
3.28,5.92,2.1,1.02,8.37,1,0
21.89,4.72,6.9,0.73,9.12,1,3
7.92,3.87,8.9,0.65,10.08,1,1
15.61,5.57,5.9,0.48,7.96,1,4
6.15,5.29,6.0,0.51,8.94,1,2
17.6,7.28,8.6,0.67,10.67,1,0
3.41,5.82,5.2,0.84,3.41,0,0
9.39,4.74,3.5,0.76,4.58,1,4
9.71,6.86,6.8,0.82,10.64,0,2
16.36,6.59,7.2,0.42,4.4,0,0
2.39,7.19,7.1,1.0,6.43,0,4
14.61,3.95,3.5,1.09,7.8,1,3
17.52,7.68,3.7,0.84,10.41,1,0
11.9,8.9,8.1,0.95,11.53,1,4
0.61,6.14,3.8,0.57,5.91,1,2
0.5,6.49,3.2,0.4,10.61,1,2
13.02,9.69,3.2,0.98,15.14,1,3
15.39,9.19,7.9,0.89,11.81,1,4
11.19,6.4,5.7,0.7,11.19,1,0
11.48,5.12,4.2,0.7,9.8,1,2
12.04,8.63,5.6,0.88,9.55,1,3
2.25,8.14,8.8,0.87,5.76,0,1
9.4,6.64,8.1,1.18,9.62,1,3
12.79,7.5,3.5,0.56,5.86,0,3
12.52,8.5,6.0,0.73,11.69,1,2
10.76,4.48,7.3,0.72,5.75,1,1
17.5,6.38,4.6,0.78,9.17,0,1
8.03,2.82,4.6,1.11,5.24,0,0
16.04,8.46,5.4,0.72,11.56,1,4
6.44,2.47,5.7,0.91,7.42,1,1
8.26,6.79,8.5,0.69,11.63,1,2
11.24,6.42,5.4,0.46,11.37,1,3
2.06,2.0,7.0,0.71,7.18,1,4
8.07,5.02,6.8,0.65,10.01,1,0
6.66,2.56,5.4,0.72,6.1,1,1
13.89,5.68,7.7,0.58,5.02,0,0
13.6,8.47,4.5,0.69,8.06,1,0
3.13,8.01,5.0,0.61,7.73,1,1
7.12,4.26,8.0,0.81,9.71,1,2
10.9,9.32,3.6,1.04,13.97,1,2
0.5,4.95,7.0,1.07,9.04,1,4
13.21,5.44,3.9,0.53,7.6,1,3
3.15,5.03,3.6,0.75,4.49,1,1
16.91,3.19,6.6,0.96,6.93,1,3
7.68,6.37,6.8,0.64,9.5,1,4
8.34,5.51,7.3,0.89,10.91,1,2
1.14,3.4,8.5,0.56,3.38,1,4
9.0,5.77,2.9,0.73,8.23,1,2
8.33,3.44,2.6,0.45,5.35,1,4
7.59,2.0,5.6,0.63,4.88,1,1
15.35,7.7,8.1,0.86,7.8,0,1
5.3,6.19,6.9,0.89,10.84,1,0
5.96,11.99,3.2,0.82,9.24,1,3
10.51,5.76,2.2,0.98,11.85,1,1
6.22,2.35,6.5,0.94,5.55,0,1
18.12,9.74,2.4,0.84,11.72,0,3
17.96,6.54,4.1,0.8,15.59,1,2
6.06,5.38,7.7,0.47,5.27,1,4
9.65,4.23,4.9,0.74,7.79,1,0
9.69,2.03,3.8,0.67,5.96,1,3
7.57,6.66,5.8,0.9,12.83,1,2
7.23,6.62,7.2,0.32,7.41,0,0
10.22,7.2,7.5,0.82,4.09,1,0
5.6,5.96,2.3,0.76,4.11,0,2
15.69,6.47,7.2,0.6,9.35,1,3
6.95,5.59,2.5,0.59,11.07,1,3
11.2,8.57,3.3,0.62,8.6,0,2
7.13,5.14,3.9,0.87,7.75,1,2
11.24,6.92,6.5,0.56,5.11,0,4
11.82,9.65,7.7,0.58,8.29,1,1
13.44,4.53,6.3,0.35,7.39,1,1
6.84,4.34,4.0,0.6,8.64,1,2
7.06,4.19,7.1,0.86,3.09,0,4
13.31,4.69,2.3,0.52,5.35,1,1
11.66,6.87,5.8,0.55,9.5,1,1
8.26,2.0,8.1,0.8,4.44,0,1
8.69,4.19,7.1,0.54,7.5,0,2
17.15,3.88,5.9,0.68,11.1,1,2
17.79,5.98,7.3,0.93,12.23,1,3
8.86,6.65,4.6,0.46,5.65,1,0
10.25,8.59,6.2,0.56,4.85,0,1
0.5,7.75,2.7,0.53,5.43,0,3
22.23,8.26,6.2,1.04,11.03,1,4
11.97,7.84,2.4,0.86,8.67,0,0
3.4,3.42,5.0,0.6,5.53,0,0
12.05,6.13,8.5,0.38,6.12,1,1
13.42,7.06,6.0,0.52,7.64,0,1
0.5,2.88,2.2,0.48,4.55,0,3
9.09,6.85,3.3,0.54,5.12,1,3
5.89,8.18,7.1,0.46,8.69,1,4
7.88,6.37,2.5,0.83,4.49,1,0
8.09,3.39,8.3,0.41,9.68,1,2
8.31,3.49,8.3,0.51,9.64,1,1
0.5,6.03,8.3,0.53,7.18,0,0
8.06,2.0,8.9,0.41,6.51,1,2
7.56,5.46,5.2,0.53,7.1,1,4
7.39,3.67,8.0,0.41,6.89,1,3
4.82,4.71,5.8,0.5,5.14,0,2
8.68,3.63,6.6,0.92,6.43,1,0
11.27,8.52,7.5,0.58,15.54,1,2
8.8,8.14,3.4,0.55,7.97,1,4
7.27,5.99,2.2,0.69,5.99,1,0
3.06,6.58,4.7,0.55,4.96,1,1
0.5,6.41,6.0,0.94,4.96,0,0
14.15,6.92,4.2,0.54,5.25,0,3
3.81,5.12,6.6,0.67,4.25,0,2
1.35,7.42,4.9,1.14,2.23,0,3
5.25,9.15,2.1,1.1,10.44,0,1
16.36,5.93,7.7,0.98,3.59,0,4
11.27,7.16,4.5,1.12,9.3,1,3
11.91,8.89,3.7,0.97,10.93,0,3
9.35,3.72,6.6,0.56,4.49,1,4
10.98,8.05,6.8,0.7,10.94,1,4
10.39,5.77,4.0,0.84,5.71,1,3
16.05,6.68,8.1,0.3,5.9,0,2
7.09,6.0,2.8,0.22,6.66,1,0
0.5,3.87,8.4,0.55,5.84,1,2
4.26,6.18,7.3,0.74,8.0,1,1
3.89,5.49,3.7,0.93,9.43,1,1
0.5,4.3,4.1,0.77,7.07,1,0
2.54,8.22,8.2,1.05,10.02,1,1
5.58,7.15,2.2,0.88,9.94,1,1
16.65,8.08,2.7,1.1,15.34,1,2
1.19,8.67,5.0,0.97,9.48,0,4
17.49,9.65,3.7,1.22,9.92,1,1
10.97,3.13,8.7,1.17,4.32,0,3
8.44,6.11,2.3,0.61,8.32,1,3
6.37,5.05,4.0,0.62,6.32,1,4
0.5,7.15,5.6,0.49,7.03,0,1
11.36,6.4,6.3,0.54,8.01,0,1
2.82,4.48,5.0,0.48,8.02,1,4
5.68,6.81,8.7,0.51,7.96,1,1
12.59,5.46,2.8,0.48,4.92,0,3
8.45,4.64,7.3,0.71,9.08,1,1
5.33,6.71,7.1,0.89,7.06,1,2
1.43,6.53,5.0,0.71,8.11,0,2
0.5,6.62,7.1,0.53,6.87,0,0
1.23,7.99,7.5,1.02,12.12,1,3
5.0,7.77,6.2,0.39,10.14,1,3
4.99,4.15,8.2,0.55,9.56,1,4
4.28,8.7,2.5,1.02,10.85,0,2
5.48,8.93,8.9,1.15,13.36,1,2
10.15,5.78,8.7,0.77,6.08,0,0
11.65,5.97,2.2,0.72,10.21,0,2
12.39,6.47,6.2,0.82,5.01,1,4
5.57,7.44,4.4,0.54,11.49,1,2
12.57,7.79,4.1,0.87,12.34,1,1
6.95,5.08,5.9,0.97,3.16,0,4
0.5,5.43,9.0,1.14,5.53,0,3
10.21,3.5,5.3,0.37,4.53,0,1
12.96,6.35,7.6,0.6,11.43,1,4
11.5,3.69,5.4,0.73,2.47,0,0
10.18,6.95,5.6,0.53,8.83,1,1
16.78,5.19,6.0,0.91,9.84,1,2
5.18,5.56,6.4,0.88,7.16,0,2
16.5,7.62,2.9,0.5,8.14,1,1
6.48,7.63,2.1,0.79,10.87,1,2
15.2,7.27,7.4,0.76,10.59,1,2
16.28,4.44,4.8,0.69,7.05,1,4
8.83,5.36,8.6,0.31,5.33,1,3
6.85,8.54,2.4,0.69,6.88,0,1
0.5,4.54,4.0,0.86,7.96,1,2
11.22,5.16,4.5,0.59,10.28,1,2
6.03,6.82,6.1,0.46,9.84,1,4
12.76,6.53,5.9,0.7,9.95,1,2
9.04,6.62,4.0,0.65,8.35,1,4
8.21,3.53,5.6,0.81,6.53,0,1
9.82,3.15,7.9,0.41,5.48,0,3
10.5,2.59,4.2,0.42,2.26,0,3
5.74,9.13,6.4,0.75,8.02,1,4
8.73,5.92,2.3,0.59,5.84,1,0
0.5,2.0,4.6,0.55,5.02,1,3
5.41,4.84,5.3,0.74,7.98,1,0
9.88,8.44,3.0,0.9,11.9,1,1
9.24,8.34,8.2,0.5,9.44,0,4
9.82,5.27,5.6,0.8,7.27,0,0
9.95,5.15,4.8,0.45,4.91,0,0
8.15,5.49,6.7,0.86,8.71,1,0
9.11,5.14,2.1,0.69,9.27,1,1
6.41,8.35,4.6,0.68,12.77,1,0
6.2,5.88,5.2,0.7,7.65,1,2
11.59,2.61,5.3,0.65,4.38,0,1
12.92,3.3,3.0,0.53,4.53,0,0
13.99,6.78,6.7,0.39,12.68,1,2
6.97,6.51,2.4,0.54,6.78,0,2
7.64,4.45,5.7,0.55,6.37,1,1
0.5,6.24,5.8,0.43,5.95,0,0
11.2,2.51,2.3,0.64,7.18,0,2
13.48,2.0,6.2,0.64,4.0,0,0
6.65,4.8,7.5,0.56,7.57,1,3
8.29,4.19,6.7,0.86,8.58,1,3
11.94,6.56,2.1,0.44,8.67,0,2
14.42,5.07,2.2,0.74,8.24,0,2
8.97,3.1,9.0,0.42,5.04,1,4
5.59,4.68,4.5,0.85,10.17,1,2
6.06,4.2,2.3,0.61,9.36,1,1
14.75,6.91,4.0,1.22,8.99,1,0
17.64,6.68,5.5,0.95,12.16,1,1
6.7,9.01,2.5,0.78,11.82,1,4
12.04,8.69,7.7,0.77,10.57,1,4
9.83,7.61,5.0,1.08,10.32,0,1
7.39,6.54,4.9,0.73,9.93,1,1
6.14,5.46,2.0,0.65,8.44,1,1
16.87,8.89,5.0,0.65,5.31,1,4
7.21,8.16,2.5,0.3,6.42,0,2
7.67,8.06,2.3,0.78,5.04,1,1
5.99,7.28,5.6,0.81,8.54,0,4
16.33,7.33,8.4,0.86,11.95,1,1
15.7,4.57,4.3,0.75,9.81,1,1
5.98,6.74,3.1,0.78,8.43,1,3
9.4,2.8,7.7,0.57,6.54,1,4
14.8,6.78,7.6,0.27,7.88,0,0
16.39,4.01,6.7,0.5,4.52,1,4
10.45,9.5,8.3,0.72,6.31,1,0
9.44,4.16,4.3,0.43,3.83,0,4
9.86,2.94,4.3,0.67,8.38,1,2
3.81,5.37,2.7,0.44,5.53,0,2
3.97,3.01,2.5,0.44,5.94,1,1
12.31,7.26,4.4,0.87,8.6,1,4
5.67,3.04,4.0,0.7,8.44,1,0
12.28,4.67,6.4,0.61,8.7,1,0
15.25,3.59,6.3,0.44,5.99,0,2
8.33,6.65,6.1,0.73,7.52,0,0
12.18,5.19,5.2,0.64,9.1,1,1
13.99,4.1,8.4,0.63,4.04,0,0
13.0,8.25,3.7,0.57,10.09,1,3
7.05,6.41,3.7,0.79,8.48,0,3
8.34,4.27,5.2,0.81,7.57,1,0
17.95,6.66,5.8,0.77,4.29,0,4
17.67,6.99,5.7,0.64,6.33,1,4
3.52,4.35,6.7,0.4,2.57,0,4
15.32,3.93,5.1,0.78,8.57,0,2
6.74,6.31,4.1,0.48,8.85,1,4
9.17,7.14,7.4,1.19,10.78,1,0
1.93,6.67,3.3,0.78,10.3,1,0
1.97,5.16,5.6,0.41,6.32,0,0
14.13,5.97,8.7,1.04,5.2,0,1
8.83,7.19,2.7,1.05,4.33,0,0
3.44,7.92,8.0,1.01,4.17,0,3
2.05,5.74,3.6,0.58,8.71,1,1
12.98,3.5,3.6,0.31,5.48,0,1
11.42,3.71,3.5,0.58,5.79,0,3
7.78,7.19,6.9,0.1,8.2,1,2
1.46,4.78,6.4,0.35,3.01,0,4
6.34,3.17,3.4,0.48,6.57,1,4
1.26,5.24,7.5,0.55,6.42,0,2
8.94,7.35,7.9,0.62,7.71,1,3
11.04,7.69,8.0,0.58,14.82,1,2
10.09,7.34,3.4,0.5,7.61,1,4
4.9,6.81,8.8,0.63,6.95,0,4
9.76,7.27,9.0,0.5,10.17,1,4
3.46,2.97,2.5,0.48,3.2,0,0
0.5,6.28,2.0,0.37,6.71,1,2
17.59,7.71,7.6,0.58,8.86,1,3
6.23,7.23,8.4,0.79,5.11,0,4
12.76,8.65,3.1,1.17,6.96,0,0
5.13,5.82,3.5,0.61,10.41,1,3
2.37,9.69,6.6,0.68,7.9,1,0
15.42,7.27,3.9,0.92,12.31,0,2
7.95,8.22,3.9,1.02,11.3,1,3
8.15,2.81,2.2,0.81,6.86,1,1
13.4,2.0,6.7,0.66,4.04,0,0
10.79,5.12,6.0,0.59,6.91,0,0
10.65,3.06,8.0,0.51,6.74,1,4
3.98,4.45,6.0,0.5,4.02,0,4
14.49,6.91,2.3,0.6,8.9,1,2
16.36,4.78,5.1,0.53,7.63,0,2
8.81,5.31,4.4,0.29,1.79,0,3
12.56,4.9,6.7,0.46,4.26,0,3
19.85,5.03,6.5,0.44,6.08,1,3
4.06,4.31,7.9,0.95,4.91,0,4
12.22,6.56,7.6,0.59,5.65,1,3
14.23,5.46,8.4,0.36,6.67,0,3
8.77,4.76,8.2,0.65,10.07,1,2
9.2,7.01,4.0,0.89,5.88,0,1
13.01,8.78,5.3,0.75,1.82,0,3
11.21,6.11,3.6,0.82,13.44,1,2
0.5,6.47,4.3,0.65,6.93,1,4
8.96,5.92,2.4,0.59,6.64,1,0
10.48,7.9,8.1,0.47,8.66,0,3
5.4,7.64,6.4,1.39,11.86,1,1
5.68,4.46,7.8,0.67,9.16,1,0
3.46,7.99,4.2,0.83,3.04,0,0
5.8,3.43,5.4,0.94,4.2,0,1
11.75,5.01,2.9,0.3,7.92,1,4
19.62,8.88,6.5,0.75,13.59,1,2
0.5,6.35,4.0,0.48,11.27,1,0
13.77,5.18,8.5,0.71,13.49,1,2
7.78,4.59,5.9,0.89,9.53,1,4
1.59,6.77,8.1,0.48,9.63,1,4
8.45,6.08,7.3,0.72,5.7,0,3
0.5,4.5,5.4,0.46,9.74,1,0
3.33,5.42,7.3,0.83,6.46,0,3
0.5,4.65,9.0,0.54,6.61,1,4
11.55,5.8,8.4,0.22,5.17,0,1
12.23,3.46,7.9,0.2,6.36,1,3
4.79,3.36,4.0,0.58,4.07,0,0
10.88,3.5,7.3,0.58,7.22,1,1
10.22,5.61,4.7,0.88,9.85,1,2
18.14,4.63,4.4,0.61,7.98,0,1
6.78,7.22,7.9,0.71,9.07,1,4
15.5,7.03,4.2,0.39,3.57,1,4
5.08,4.59,2.4,0.4,4.49,0,2
7.3,3.37,8.8,0.65,7.63,1,1
0.5,9.17,7.3,0.56,8.33,1,0
8.2,8.58,8.2,0.86,11.81,1,4
1.57,4.53,5.0,0.54,9.59,1,1
6.92,8.52,5.4,0.79,14.49,1,2
0.5,5.66,4.4,0.43,3.58,1,0
5.13,8.11,2.1,0.86,11.18,1,0
8.03,4.53,8.9,1.25,7.86,0,1
12.6,5.34,2.2,0.85,9.72,1,1
20.32,7.03,8.6,0.52,15.35,1,2
11.74,7.38,2.4,0.79,9.07,0,3
4.79,4.02,4.5,0.9,8.85,1,2
10.61,5.63,3.5,0.75,8.22,1,0
2.59,6.44,5.2,0.74,10.06,1,3
7.34,9.09,5.3,0.42,9.06,0,3
4.75,5.33,6.3,0.51,9.68,1,4
14.86,2.0,7.8,0.74,6.4,1,1
16.79,5.05,6.7,0.49,6.8,1,4
1.19,4.86,7.8,0.63,6.84,0,1
3.88,5.85,5.5,0.85,7.02,0,0
11.48,9.96,7.3,1.26,8.84,0,0
13.4,7.81,7.9,0.81,10.88,1,0
11.26,7.95,5.4,0.47,3.8,0,0
12.57,7.22,4.4,0.95,8.4,1,0
3.17,8.93,2.2,1.19,6.66,1,3
16.28,5.06,5.8,0.98,11.07,1,3
10.8,5.21,8.3,0.82,9.49,1,1
8.98,6.15,3.6,0.83,10.25,1,1
4.51,3.35,8.5,0.38,3.14,0,4
5.58,2.0,6.1,0.76,7.22,1,2
3.29,6.07,6.1,0.57,11.45,1,2
11.7,2.42,4.6,0.68,6.89,1,3
16.84,3.78,3.6,0.62,3.8,0,3
9.81,2.0,2.6,0.37,2.86,0,4
11.96,5.73,4.3,0.94,6.65,0,0
2.52,9.3,3.1,0.87,6.86,0,4
2.77,4.49,6.8,1.12,10.19,1,2
2.56,4.54,8.3,0.96,7.79,1,1
10.12,4.34,6.7,0.91,10.16,1,1
9.89,5.5,3.9,1.07,7.83,1,1
14.42,8.92,8.1,0.75,10.06,1,3
4.7,7.02,3.4,0.29,6.47,1,1
8.19,4.52,3.8,0.85,5.97,1,0
13.8,8.74,6.0,0.97,6.35,0,0
9.06,7.04,3.6,0.94,11.42,1,2
8.78,7.67,7.1,0.73,10.27,1,0
5.16,6.7,2.1,0.63,6.88,0,0
4.71,3.81,3.2,1.05,7.29,1,3
12.74,8.28,5.5,0.44,8.31,1,0
16.23,4.79,6.9,0.98,5.62,1,4
8.61,4.54,6.2,1.0,8.16,1,0
7.02,5.22,7.1,0.83,5.8,0,4
0.81,5.23,5.8,0.89,10.85,1,4
17.06,2.72,4.7,0.94,7.83,0,2
10.87,5.48,3.2,0.76,10.14,1,3
7.1,4.95,6.7,0.62,9.17,1,3
13.35,5.44,6.0,1.05,10.02,1,4
10.25,5.0,4.0,0.92,8.3,1,4
10.55,7.87,8.7,0.82,12.14,1,4
2.07,9.25,6.5,1.29,14.66,1,2
19.88,7.09,4.2,1.0,12.11,1,3
6.96,6.19,6.9,1.26,10.25,1,1
7.89,9.69,4.8,0.82,6.15,0,4
18.36,7.87,4.6,0.68,4.31,1,0
12.31,3.65,6.6,0.64,9.85,1,2
0.5,7.1,6.6,1.06,10.85,1,2
12.69,8.4,3.1,1.36,3.74,0,3
9.83,5.98,3.1,0.8,9.74,1,0
12.32,6.25,8.1,0.5,5.65,0,4
9.68,5.87,3.0,0.89,9.38,1,0
13.89,3.74,8.6,0.83,7.72,1,3
17.96,10.33,7.5,0.65,12.16,1,2
8.24,4.77,4.8,1.25,10.38,1,1
14.13,5.18,5.1,0.9,7.48,0,3
6.53,5.18,4.7,0.67,5.23,0,2
6.2,7.0,4.5,0.81,6.58,0,1
5.91,10.17,5.8,0.55,3.36,1,4
14.02,7.29,5.7,0.7,9.32,1,0
3.63,7.45,3.1,0.72,10.54,1,4
9.81,7.54,4.7,0.32,10.12,1,0
9.09,7.04,6.0,1.02,12.06,1,3
6.71,7.34,2.3,0.55,6.64,1,3
5.45,7.24,8.9,0.88,7.51,0,0
12.52,4.15,6.7,0.67,9.31,1,4
1.44,4.99,4.3,0.67,6.5,0,4
14.03,3.07,3.3,0.54,4.36,0,4
9.26,5.49,4.0,0.89,11.41,1,1
9.49,5.66,4.8,0.66,8.89,1,1
3.61,7.52,4.9,0.89,8.85,1,0
7.13,4.14,5.8,0.74,5.32,0,3
7.59,6.3,2.9,1.18,7.19,0,3
7.33,9.84,3.1,0.56,8.33,0,4
6.41,8.4,2.2,1.15,10.18,1,3
3.5,8.89,7.1,1.26,7.5,0,2
10.41,6.69,6.2,0.54,10.44,1,2
12.48,4.48,2.2,0.9,5.62,1,4
8.44,7.68,5.9,1.02,7.75,0,2
0.5,4.69,6.2,0.71,3.02,0,4
12.58,5.77,3.9,0.37,9.42,0,2
9.0,2.0,2.6,0.87,7.26,1,2
6.29,2.0,4.0,0.75,6.54,1,1
10.42,6.69,8.5,0.74,7.81,0,2
15.21,2.0,6.8,0.3,6.29,1,0
16.03,4.89,3.5,0.45,8.05,1,0
20.2,7.29,7.3,0.69,11.53,1,1
16.33,7.35,4.1,0.87,6.46,1,4
7.53,5.81,6.0,0.86,8.51,1,4
0.5,9.62,4.8,1.0,14.63,1,1
14.39,6.15,4.6,0.94,10.5,1,2
7.07,7.07,2.4,0.94,10.03,1,0
2.76,5.29,8.1,1.01,5.21,1,1
4.28,6.95,5.5,0.85,9.43,1,4
15.96,5.58,3.0,0.75,5.8,0,2
13.36,8.54,3.8,0.95,8.81,1,1
6.29,6.41,7.9,0.56,9.56,1,3
4.43,6.85,5.2,1.14,7.41,1,2
13.89,8.37,4.5,0.85,7.96,1,4
14.43,8.36,8.7,0.74,12.44,1,4
11.44,5.65,4.8,0.68,8.63,1,2
6.16,5.6,8.2,0.17,5.25,0,0
11.27,4.9,6.2,0.27,7.43,1,4
4.85,5.99,5.2,0.81,7.67,0,2
12.34,8.07,6.2,0.59,11.02,1,1
12.08,4.43,2.0,0.32,4.82,0,0
